Disease Name,Overview Link,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17,Symptom 18,Symptom 19,symptom 20,symptom 21
Epilepsy,https://www.mayoclinic.org/diseases-conditions/epilepsy/symptoms-causes/syc-20350093,Temporary confusion,A staring spell,Uncontrollable jerking movements of the arms and legs,Loss of consciousness or awareness,Psychic symptoms such as fear anxiety or dÃ©jÃ vu,,,,,,,,,,,,,,,,
Fabry disease,,Episodes of pain particularly in the hands and feet,Clusters of small dark red spots on the skin,A decreased ability to sweat,Cloudiness of the front part of the eye,Hearing loss,Ringing in the ears,Kidney problems,,,,,,,,,,,,,,
Facial nerve palsy,https://www.mayoclinic.org/diseases-conditions/bells-palsy/symptoms-causes/syc-20370028,Mild weakness to total paralysis on one side of the face,Facial droop and difficulty making facial expressions,Pain around the jaw or in or behind the ear on the affected side,Increased sensitivity to sound on the affected side,Headache,A decrease in your ability to taste,Changes in the amount of tears and saliva you produce,,,,,,,,,,,,,,
Factitious disorder,https://www.mayoclinic.org/diseases-conditions/factitious-disorder/symptoms-causes/syc-20356028,Extensive knowledge of medical terms and diseases,Vague or inconsistent symptoms,Conditions that get worse for no apparent reason,Conditions that don't respond as expected to standard therapies,Seeking treatment from many different doctors or hospitals which may include using a fake name,Reluctance to allow doctors to talk to family or friends or to other health care professionals,Frequent stays in the hospital,Eagerness to have frequent testing or risky operations,Many surgical scars or evidence of numerous procedures,Having few visitors when hospitalized,Arguing with doctors and staff,,,,,,,,,,
Familial adenomatous polyposis,https://www.mayoclinic.org/diseases-conditions/familial-adenomatous-polyposis/symptoms-causes/syc-20372443,hundreds or even thousands of polyps growing in your colon and rectum usually starting by your mid-teens,,,,,,,,,,,,,,,,,,,,
Familial Mediterranean fever,https://www.mayoclinic.org/diseases-conditions/familial-mediterranean-fever/symptoms-causes/syc-20372470,Recurrent fevers,Abdominal pain,Chest pain,Painful swollen joints,A red rash on your legs especially below your knees,Muscle aches,A swollen tender scrotum,,,,,,,,,,,,,,
Fanconi anemia,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015,Fatigue,Shortness of breath,Rapid or irregular heart rate,Pale skin,Frequent or prolonged infections,Unexplained or easy bruising,Nosebleeds and bleeding gums,Prolonged bleeding from cuts,Skin rash,Dizziness,Headache,Fever,,,,,,,,,
Far-sightedness (hyperopia),https://www.mayoclinic.org/diseases-conditions/farsightedness/symptoms-causes/syc-20372495,Nearby objects may appear blurry,You need to squint to see clearly,You have eyestrain including burning eyes and aching in or around the eyes,You have general eye discomfort or a headache after doing close tasks such as reading writing computer work or drawing for a time,,,,,,,,,,,,,,,,,
Febrile seizures,https://www.mayoclinic.org/diseases-conditions/febrile-seizure/symptoms-causes/syc-20372522,Have a fever higher than 1004 F (380 C),Lose consciousness,Shake or jerk the arms and legs,Simple febrile seizures This most common type lasts from a few seconds to 15 minutes Simple febrile seizures do not recur within a 24-hour period and are not specific to one part of the body,Complex febrile seizures This type lasts longer than 15 minutes occurs more than once within 24 hours or is confined to one side of your child's body,,,,,,,,,,,,,,,,
Female sexual dysfunction,https://www.mayoclinic.org/diseases-conditions/female-sexual-dysfunction/symptoms-causes/syc-20372549,Low sexual desire This most common of female sexual dysfunctions involves a lack of sexual interest and willingness to be sexual,Sexual arousal disorder Your desire for sex might be intact but you have difficulty with arousal or are unable to become aroused or maintain arousal during sexual activity,Orgasmic disorder You have persistent or recurrent difficulty in achieving orgasm after sufficient sexual arousal and ongoing stimulation,Sexual pain disorder You have pain associated with sexual stimulation or vaginal contact,,,,,,,,,,,,,,,,,
Fibrocystic breasts,https://www.mayoclinic.org/diseases-conditions/fibrocystic-breasts/symptoms-causes/syc-20350438,Breast lumps or areas of thickening that tend to blend into the surrounding breast tissue,Generalized breast pain or tenderness or discomfort that involves the upper outer part of the breast,Breast nodules or lumpy tissue change in size with the menstrual cycle,Green or dark brown nonbloody nipple discharge that tends to leak without pressure or squeezing,Breast changes that are similar in both breasts,Monthly increase in breast pain or lumpiness from midcycle (ovulation) to just before your period and then gets better once your period starts,,,,,,,,,,,,,,,
Fibromyalgia,https://www.mayoclinic.org/diseases-conditions/fibromyalgia/symptoms-causes/syc-20354780,Widespread pain,Fatigue,Cognitive difficulties (often referred to as 'fibro fog'),Sleep disturbances,Depression and anxiety,Headaches,Irritable bowel syndrome (IBS),Painful menstrual periods,,,,,,,,,,,,,
Gallbladder cancer,https://www.mayoclinic.org/diseases-conditions/gallbladder-cancer/symptoms-causes/syc-20353370,Abdominal pain particularly in the upper right portion of the abdomen,Abdominal bloating,Losing weight without trying,Yellowing of the skin and whites of the eyes (jaundice),,,,,,,,,,,,,,,,,
Gallstones,https://www.mayoclinic.org/diseases-conditions/gallstones/symptoms-causes/syc-20354214,Sudden and rapidly intensifying pain in the upper right portion of your abdomen,Sudden and rapidly intensifying pain in the center of your abdomen just below your breastbone,Back pain between your shoulder blades,Pain in your right shoulder,Nausea or vomiting,,,,,,,,,,,,,,,,
Gangrene,https://www.mayoclinic.org/diseases-conditions/gangrene/symptoms-causes/syc-20352567,Changes in skin color — ranging from pale gray to blue purple black bronze or red,Swelling,Blisters,Sudden severe pain followed by a feeling of numbness,A foul-smelling discharge leaking from a sore,Thin shiny skin or skin without hair,Skin that feels cool or cold to the touch,,,,,,,,,,,,,,
Gastritis,https://www.mayoclinic.org/diseases-conditions/gastritis/symptoms-causes/syc-20355807,Gnawing or burning ache or pain (indigestion) in your upper abdomen that may become either worse or better with eating,Nausea,Vomiting,A feeling of fullness in your upper abdomen after eating,,,,,,,,,,,,,,,,,
Gastroenteritis,https://www.mayoclinic.org/diseases-conditions/viral-gastroenteritis/symptoms-causes/syc-20378847,Watery usually nonbloody diarrhea — bloody diarrhea usually means you have a different more severe infection,Nausea vomiting or both,Stomach cramps and pain,Occasional muscle aches or headache,Low-grade fever,Symptoms usually last just a day or two but occasionally they may last up to 14 days,Symptoms may appear within 1-3 days after you're infected and can range from mild to severe,,,,,,,,,,,,,,
Gastroesophageal reflux disease (GERD),https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940,A burning sensation in the chest often called heartburn Heartburn usually happens after eating and might be worse at night or while lying down,Backwash of food or sour liquid in the throat,Upper belly or chest pain,Trouble swallowing called dysphagia,Sensation of a lump in the throat,,,,,,,,,,,,,,,,
Gastroparesis,https://www.mayoclinic.org/diseases-conditions/gastroparesis/symptoms-causes/syc-20355787,Vomiting,Nausea,Abdominal bloating,Abdominal pain,A feeling of fullness after eating just a few bites,Vomiting undigested food eaten a few hours earlier,Acid reflux,Changes in blood sugar levels,Lack of appetite,Weight loss and malnutrition,,,,,,,,,,,
Genital herpes,https://www.mayoclinic.org/diseases-conditions/genital-herpes/symptoms-causes/syc-20356161,Pain or itching around the genitals,Small bumps or blisters around the genitals anus or mouth,Painful ulcers that form when blisters rupture and ooze or bleed,Scabs that form as the ulcers heal,Painful urination,Discharge from the urethra the tube that releases urine from the body,Discharge from the vagina,Fever,Headache,Body aches,Swollen lymph nodes in the groin,Sore can develop on or in the: Buttocks Thighs Rectum Anus Mouth Urethra Vulva Vagina Cervix Penis Scrotum,After the first outbreak of genital herpes symptoms often appear again These are called recurrent outbreaks or recurrent episodes,,,,,,,,
Genital warts,https://www.mayoclinic.org/diseases-conditions/genital-warts/symptoms-causes/syc-20355234,Small swellings in the genital area that may be skin-colored or a different color,A cauliflower-like shape caused by a few warts close together,Itching or discomfort in your genital area,Bleeding with sex,Genital warts can grow on the: Vuvla Walls of the vagina Area between the outer part of the genitals and the anus Anal canal Cervix Tip or shaft of the penis Scrotum Anus Mouth or throat if performed oral sex,,,,,,,,,,,,,,,,
Germ cell tumors,https://www.mayoclinic.org/diseases-conditions/germ-cell-tumors/symptoms-causes/syc-20352493,Headache,Vomiting,Fatigue,Feeling irritable,Double vision and blurry vision,Trouble looking up or focusing on close objects,Coordination and balance issues,,,,,,,,,,,,,,
Gestational diabetes,https://www.mayoclinic.org/diseases-conditions/gestational-diabetes/symptoms-causes/syc-20355339,Possible increased thirst and more-frequent urination,causes high blood sugar that can affect your pregnancy and your baby's health,,,,,,,,,,,,,,,,,,,
Giardia infection (giardiasis),https://www.mayoclinic.org/diseases-conditions/giardia-infection/symptoms-causes/syc-20372786,Watery sometimes foul-smelling diarrhea that may alternate with soft greasy stools,Fatigue,Stomach cramps and bloating,Gas,Nausea,Weight loss,,,,,,,,,,,,,,,
Gilbert's syndrome,https://www.mayoclinic.org/diseases-conditions/gilberts-syndrome/symptoms-causes/syc-20372811,Illness such as a cold or the flu,Fasting or eating a very low-calorie diet,Dehydration,Menstruation,Strenuous exercise,Stress,,,,,,,,,,,,,,,
Gingivitis,https://www.mayoclinic.org/diseases-conditions/gingivitis/symptoms-causes/syc-20354453,Bright red or dark red gums or gums that are darker than usual,Gums that bleed easily when you brush or floss,Tender gums,Bad breath,Swollen or puffy gums,,,,,,,,,,,,,,,,
Glaucoma,https://www.mayoclinic.org/diseases-conditions/glaucoma/symptoms-causes/syc-20372839,Severe headache,Eye pain,Nausea and vomiting,Blurred vision,Halos around lights,Eye redness,,,,,,,,,,,,,,,
Glioma,https://www.mayoclinic.org/diseases-conditions/glioma/symptoms-causes/syc-20350251,Headache particularly one that hurts the most in the morning,Nausea and vomiting,Confusion or a decline in brain function such as problems with thinking and understanding information,Memory loss,Personality changes or irritability,Vision problems such as blurred vision double vision or loss of peripheral vision,Speech difficulties,Seizures especially in someone who hasn't had seizures before,,,,,,,,,,,,,
Glomerulonephritis,https://www.mayoclinic.org/diseases-conditions/glomerulonephritis/symptoms-causes/syc-20355705,Pink or cola-colored urine from red blood cells in your urine (hematuria),Foamy or bubbly urine due to excess protein in the urine (proteinuria),High blood pressure (hypertension),Fluid retention (edema) with swelling evident in your face hands feet and abdomen,Urinating less than usual,Nausea and vomiting,Muscle cramps,Fatigue,,,,,,,,,,,,,
Glucagonoma,https://www.mayoclinic.org/diseases-conditions/pancreatic-neuroendocrine-tumors/symptoms-causes/syc-20352489,Heartburn,Weakness,Fatigue,Muscle cramps,Indigestion,Diarrhea,Weight loss,Skin rash,Constipation,Pain in the abdomen or back,Yellowing of the skin and the whites of the eyes,Dizziness,Blurred vision,Headaches,Increased thirst and hunger,,,,,,
Obstructive Goiter,https://www.mayoclinic.org/diseases-conditions/goiter/symptoms-causes/syc-20351829,Difficulty swallowing,Difficulty breathing with exertion,Cough,Hoarseness,Snoring,,,,,,,,,,,,,,,,
Gonorrhea (Male),https://www.mayoclinic.org/diseases-conditions/gonorrhea/symptoms-causes/syc-20351774,Painful urination,Pus-like discharge from the tip of the penis,Pain or swelling in one testicle,,,,,,,,,,,,,,,,,,
Gonorrhea (Female),https://www.mayoclinic.org/diseases-conditions/gonorrhea/symptoms-causes/syc-20351774,Increased vaginal discharge,Painful urination,Vaginal bleeding between periods such as after vaginal intercourse,Abdominal or pelvic pain,,,,,,,,,,,,,,,,,
Gout,https://www.mayoclinic.org/diseases-conditions/gout/symptoms-causes/syc-20372897,Intense joint pain,Lingering discomfort,Inflammation and redness,Limited range of motion,,,,,,,,,,,,,,,,,
Granulomatosis with polyangiitis,https://www.mayoclinic.org/diseases-conditions/granulomatosis-with-polyangiitis/symptoms-causes/syc-20351088,Pus-like drainage with crusts from your nose stuffiness sinus infections and nosebleeds,Coughing sometimes with bloody phlegm,Shortness of breath or wheezing,Fever,Fatigue,Joint pain,Numbness in your limbs fingers or toes,Weight loss,Blood in your urine,Skin sores bruising or rashes,Eye redness burning or pain and vision problems,Ear inflammation and hearing problems,,,,,,,,,
Group B strep disease (Infant),https://www.mayoclinic.org/diseases-conditions/group-b-strep/symptoms-causes/syc-20351729,Fever,Low body temperature,Difficulty feeding,Sluggishness limpness or weak muscle tone,Difficulty breathing,Irritability,Jitteriness,Seizures,Rash,Jaundice,,,,,,,,,,,
Group B strep disease (Adult),https://www.mayoclinic.org/diseases-conditions/group-b-strep/symptoms-causes/syc-20351729,A strong persistent urge to urinate,A burning sensation or pain when urinating,Passing frequent small amounts of urine,Urine that appears red bright pink or cola colored — a sign of blood in the urine,Pelvic pain,Fever,Chills,Confusion or lack of alertness,Cough,Shortness of breath,Chest pain when you breathe or cough,Swelling warmth or redness in the area of the infection,Lesions with pus or drainage,Pain in the area of the infection,Stiffness or inability to use a limb or joint,,,,,,
Guillain-Barre syndrome,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,A pins and needles feeling in the fingers toes ankles or wrists,Weakness in the legs that spreads to the upper body,Unsteady walk or not being able to walk or climb stairs,Trouble with facial movements including speaking chewing or swallowing,Double vision or inability to move the eyes,Severe pain that may feel achy shooting or cramplike and may be worse at night,Trouble with bladder control or bowel function,Rapid heart rate,Low or high blood pressure,Trouble breathing,,,,,,,,,,,
Hair loss,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,Gradual thinning on top of head,Circular or patchy bald spots,Sudden loosening of hair,Full-body hair loss,Patches of scaling that spread over the scalp,,,,,,,,,,,,,,,,
Hallux rigidus,,,,,,,,,,,,,,,,,,,,,,
Hallux valgus (bunion),https://www.mayoclinic.org/diseases-conditions/bunions/symptoms-causes/syc-20354799,A bulging bump on the outside of the base of your big toe,Swelling redness or soreness around your big toe joint,Corns or calluses — these often develop where the first and second toes rub against each other,Ongoing pain or pain that comes and goes,Limited movement of your big toe,,,,,,,,,,,,,,,,
Hammertoe and mallet toe,https://www.mayoclinic.org/diseases-conditions/hammertoe-and-mallet-toe/symptoms-causes/syc-20350839,Pain from wearing shoes,Difficulty moving the affected toe,Toe stiffness,Redness and swelling,Growth of corns and calluses from rubbing against shoes or against the ground,,,,,,,,,,,,,,,,
Hand-foot-and-mouth disease,https://www.mayoclinic.org/diseases-conditions/hand-foot-and-mouth-disease/symptoms-causes/syc-20353035,Fever,Sore throat,Feeling sick,Painful blister-like lesions on the tongue gums and inside of the cheeks,A rash on the palms soles and sometimes the buttocks The rash is not itchy but sometimes it has blisters Depending on skin tone the rash may appear red white gray or only show as tiny bumps,Fussiness in infants and toddlers,Loss of appetite,,,,,,,,,,,,,,
Hashimoto's disease,https://www.mayoclinic.org/diseases-conditions/hashimotos-disease/symptoms-causes/syc-20351855,Fatigue and sluggishness,Increased sensitivity to cold,Increased sleepiness,Dry skin,Constipation,Muscle weakness,Muscle aches tenderness and stiffness,Joint pain and stiffness,Irregular or excessive menstrual bleeding,Depression,Problems with memory or concentration,Swelling of the thyroid (goiter),A puffy face,Brittle nails,Hair loss,Enlargement of the tongue,,,,,
Head and neck cancers,https://www.mayoclinic.org/diseases-conditions/head-and-neck-cancers/symptoms-causes/syc-20354171,A lump in the neck that you might be able to feel through the skin Typically the lump isn't painful,A sore in the mouth that won't heal,Coughing up blood,Hoarse voice,Loose teeth,Pain when swallowing,Nosebleeds,Stuffy or blocked nose that doesn't go away,A sore on the skin of the face neck or lips that doesn't heal,Ear pain,Losing weight without trying,,,,,,,,,,
Hearing loss,https://www.mayoclinic.org/diseases-conditions/hearing-loss/symptoms-causes/syc-20373072,Muffling of speech and other sounds,Trouble understanding words especially when in a crowd or a noisy place,Trouble hearing the letters of the alphabet that aren't vowels,Often asking others to speak more slowly clearly and loudly,Needing to turn up the volume of the television or radio,Staying clear of some social settings,Being bothered by background noise,Ringing in the ears known as tinnitus,,,,,,,,,,,,,
Heart arrhythmia,https://www.mayoclinic.org/diseases-conditions/heart-arrhythmia/symptoms-causes/syc-20350668,A fluttering pounding or racing feeling in the chest,A fast heartbeat,A slow heartbeat,Chest pain,Shortness of breath,Anxiety,Feeling very tired,Lightheadedness or dizziness,Sweating,Fainting or almost fainting,,,,,,,,,,,
Heart Disease,https://www.mayoclinic.org/diseases-conditions/heart-disease/symptoms-causes/syc-20353118,Blood vessel disease such as coronary artery disease,Irregular heartbeats (arrhythmias),Heart problems you're born with (congenital heart defects),Disease of the heart muscle,Heart valve disease,,,,,,,,,,,,,,,,
Heart failure,https://www.mayoclinic.org/diseases-conditions/heart-failure/symptoms-causes/syc-20373142,,,,,,,,,,,,,,,,,,,,,
Heart murmur,https://www.mayoclinic.org/diseases-conditions/heart-murmurs/symptoms-causes/syc-20373171,,,,,,,,,,,,,,,,,,,,,
Heart valve disease,https://www.mayoclinic.org/diseases-conditions/heart-valve-disease/symptoms-causes/syc-20353727,,,,,,,,,,,,,,,,,,,,,
Heat exhaustion,https://www.mayoclinic.org/diseases-conditions/heat-exhaustion/symptoms-causes/syc-20373250,,,,,,,,,,,,,,,,,,,,,
Hemochromatosis,https://www.mayoclinic.org/diseases-conditions/hemochromatosis/symptoms-causes/syc-20351443,,,,,,,,,,,,,,,,,,,,,
Hemolytic uremic syndrome,https://www.mayoclinic.org/diseases-conditions/hemolytic-uremic-syndrome/symptoms-causes/syc-20352399,,,,,,,,,,,,,,,,,,,,,
Hemophilia,https://www.mayoclinic.org/diseases-conditions/hemophilia/symptoms-causes/syc-20373327,,,,,,,,,,,,,,,,,,,,,
Hemorrhoids,https://www.mayoclinic.org/diseases-conditions/hemorrhoids/symptoms-causes/syc-20360268,Painless bleeding during bowel movements,Itching or irritation in your anal region,Pain or discomfort,Swelling around your anus,A lump near your anus which may be sensitive or painful (may be a thrombosed hemorrhoid),,,,,,,,,,,,,,,,
Hepatitis A,https://www.mayoclinic.org/diseases-conditions/hepatitis-a/symptoms-causes/syc-20367007,,,,,,,,,,,,,,,,,,,,,
Hepatitis B,https://www.mayoclinic.org/diseases-conditions/hepatitis-b/symptoms-causes/syc-20366802,Abdominal pain,Dark urine,Fever,Joint pain,Loss of appetite,Nausea and vomiting,Weakness and fatigue,Yellowing of your skin and the whites of your eyes (jaundice),,,,,,,,,,,,,
Hepatitis C,https://www.mayoclinic.org/diseases-conditions/hepatitis-c/symptoms-causes/syc-20354278,,,,,,,,,,,,,,,,,,,,,
Hepatocellular carcinoma (Liver Cancer),https://www.mayoclinic.org/diseases-conditions/hepatocellular-carcinoma/cdc-20354552,,,,,,,,,,,,,,,,,,,,,
Herniated disk,https://www.mayoclinic.org/diseases-conditions/herniated-disk/symptoms-causes/syc-20354095,,,,,,,,,,,,,,,,,,,,,
Genital herpes,https://www.mayoclinic.org/diseases-conditions/herpes-simplex/symptoms-causes/syc-20356161,,,,,,,,,,,,,,,,,,,,,
Shingles,https://www.mayoclinic.org/diseases-conditions/shingles/symptoms-causes/syc-20353054,,,,,,,,,,,,,,,,,,,,,
Hidradenitis suppurativa,https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/symptoms-causes/syc-20352306,,,,,,,,,,,,,,,,,,,,,
High blood pressure (hypertension),https://www.mayoclinic.org/diseases-conditions/high-blood-pressure/symptoms-causes/syc-20373410,,,,,,,,,,,,,,,,,,,,,
Hip fracture,https://www.mayoclinic.org/diseases-conditions/hip-fracture/symptoms-causes/syc-20373468,,,,,,,,,,,,,,,,,,,,,
Hirschsprung's disease,https://www.mayoclinic.org/diseases-conditions/hirschsprungs-disease/symptoms-causes/syc-20351556,,,,,,,,,,,,,,,,,,,,,
HIV/AIDS,https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524,Fever,Headache,Muscle aches and joint pain,Rash,Sore throat and painful mouth sores,Swollen lymph glands mainly on the neck,Diarrhea,Weight loss,Cough,Night sweats,,,,,,,,,,,
Hodgkin's Lymphoma,https://www.mayoclinic.org/diseases-conditions/hodgkins-lymphoma/symptoms-causes/syc-20352646,Painless swelling of lymph nodes in your neck armpits or groin,Persistent fatigue,Fever,Night sweats,Unexplained weight loss,Severe itching,Increased sensitivity to the effects of alcohol or pain in your lymph nodes after drinking alcohol,,,,,,,,,,,,,,
Huntington's disease,https://www.mayoclinic.org/diseases-conditions/huntingtons-disease/symptoms-causes/syc-20356117,,,,,,,,,,,,,,,,,,,,,
Hydrocephalus,https://www.mayoclinic.org/diseases-conditions/hydrocephalus/symptoms-causes/syc-20373604,,,,,,,,,,,,,,,,,,,,,
Hyperglycemia,https://www.mayoclinic.org/diseases-conditions/hyperglycemia/symptoms-causes/syc-20373631,,,,,,,,,,,,,,,,,,,,,
Hyperhidrosis,https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/symptoms-causes/syc-20367152,,,,,,,,,,,,,,,,,,,,,
Hyperparathyroidism,https://www.mayoclinic.org/diseases-conditions/hyperparathyroidism/symptoms-causes/syc-20356194,,,,,,,,,,,,,,,,,,,,,
Hyperthyroidism,https://www.mayoclinic.org/diseases-conditions/hyperthyroidism/symptoms-causes/syc-20373659,Unintentional weight loss even when your appetite and food intake stay the same or increase,Rapid heartbeat (tachycardia) â€” commonly more than 100 beats a minute,Irregular heartbeat (arrhythmia),Pounding of your heart (palpitations),Increased appetite,Nervousness anxiety and irritability,Tremor â€” usually a fine trembling in your hands and fingers,Sweating,Changes in menstrual patterns,Increased sensitivity to heat,Changes in bowel patterns especially more frequent bowel movements,An enlarged thyroid gland (goiter) which may appear as a swelling at the base of your neck,Fatigue muscle weakness,Difficulty sleeping,Skin thinning,Fine brittle hair,,,,,
Hypoglycemia,https://www.mayoclinic.org/diseases-conditions/hypoglycemia/symptoms-causes/syc-20373685,,,,,,,,,,,,,,,,,,,,,
Hypothyroidism (underactive thyroid),https://www.mayoclinic.org/diseases-conditions/hypothyroidism/symptoms-causes/syc-20350284,,,,,,,,,,,,,,,,,,,,,
Hypoxemia,https://www.mayoclinic.org/symptoms/hypoxemia/basics/definition/sym-20050930,,,,,,,,,,,,,,,,,,,,,
Idiopathic hypersomnia,https://www.mayoclinic.org/diseases-conditions/hypersomnia/symptoms-causes/syc-20362332,,,,,,,,,,,,,,,,,,,,,
Pseudotumor cerebri (idiopathic intracranial hypertension),https://www.mayoclinic.org/diseases-conditions/pseudotumor-cerebri/symptoms-causes/syc-20354031,,,,,,,,,,,,,,,,,,,,,
Idiopathic pulmonary fibrosis,,,,,,,,,,,,,,,,,,,,,,
Ileus,https://www.mayoclinic.org/diseases-conditions/ileus/symptoms-causes/syc-20373807,,,,,,,,,,,,,,,,,,,,,
Immune thrombocytopenia (ITP),https://www.mayoclinic.org/diseases-conditions/idiopathic-thrombocytopenic-purpura/symptoms-causes/syc-20352325,,,,,,,,,,,,,,,,,,,,,
Impacted wisdom teeth,https://www.mayoclinic.org/diseases-conditions/wisdom-teeth/symptoms-causes/syc-20373808,,,,,,,,,,,,,,,,,,,,,
Impetigo,https://www.mayoclinic.org/diseases-conditions/impetigo/symptoms-causes/syc-20352352,,,,,,,,,,,,,,,,,,,,,
Infectious mononucleosis,https://www.mayoclinic.org/diseases-conditions/mononucleosis/symptoms-causes/syc-20350328,,,,,,,,,,,,,,,,,,,,,
Inflammatory bowel disease (IBD),https://www.mayoclinic.org/diseases-conditions/inflammatory-bowel-disease/symptoms-causes/syc-20353315,,,,,,,,,,,,,,,,,,,,,
Influenza (Flu),https://www.mayoclinic.org/diseases-conditions/flu/symptoms-causes/syc-20351719,Fever,Aching muscles,Chills and sweats,Headache,Dry persistent cough,Shortness of breath,Tiredness and weakness,Runny or stuffy nose,Sore throat,Eye pain,Vomiting and diarrhea but this is more common in children than adults,,,,,,,,,,
Ingrown hair,https://www.mayoclinic.org/diseases-conditions/ingrown-hair/diagnosis-treatment/drc-20373898,,,,,,,,,,,,,,,,,,,,,
Ingrown toenail,https://www.mayoclinic.org/diseases-conditions/ingrown-toenails/symptoms-causes/syc-20355904,,,,,,,,,,,,,,,,,,,,,
Interstitial cystitis,https://www.mayoclinic.org/diseases-conditions/interstitial-cystitis/symptoms-causes/syc-20354357,,,,,,,,,,,,,,,,,,,,,
Interstitial lung disease,https://www.mayoclinic.org/diseases-conditions/interstitial-lung-disease/symptoms-causes/syc-20353108,,,,,,,,,,,,,,,,,,,,,
Intestinal ischemia,https://www.mayoclinic.org/diseases-conditions/intestinal-ischemia/symptoms-causes/syc-20352759,,,,,,,,,,,,,,,,,,,,,
Intussusception,https://www.mayoclinic.org/diseases-conditions/intussusception/symptoms-causes/syc-20351452,,,,,,,,,,,,,,,,,,,,,
Invasive lobular carcinoma,https://www.mayoclinic.org/diseases-conditions/invasive-lobular-carcinoma/diagnosis-treatment/drc-20373979,,,,,,,,,,,,,,,,,,,,,
Irritable Bowel Syndrome (IBS),https://www.mayoclinic.org/diseases-conditions/irritable-bowel-syndrome/symptoms-causes/syc-20360016,Abdominal pain cramping or bloating that is related to passing a bowel movement,Changes in appearance of bowel movement,Changes in how often you are having a bowel movement,Other symptoms often include bloating increased gas or mucus in the stool,,,,,,,,,,,,,,,,,
Ischemic colitis,https://www.mayoclinic.org/diseases-conditions/ischemic-colitis/symptoms-causes/syc-20373792,,,,,,,,,,,,,,,,,,,,,
Jaundice,https://www.mayoclinic.org/diseases-conditions/jaundice/symptoms-causes/syc-20355952,,,,,,,,,,,,,,,,,,,,,
Jaw tumors and cysts,https://www.mayoclinic.org/diseases-conditions/jaw-tumors/symptoms-causes/syc-20351084,,,,,,,,,,,,,,,,,,,,,
Juvenile idiopathic arthritis,https://www.mayoclinic.org/diseases-conditions/juvenile-idiopathic-arthritis/symptoms-causes/syc-20374087,,,,,,,,,,,,,,,,,,,,,
Juvenile myoclonic epilepsy,https://www.mayoclinic.org/diseases-conditions/juvenile-myoclonic-epilepsy/symptoms-causes/syc-20374094,,,,,,,,,,,,,,,,,,,,,
Kaposi's sarcoma,https://www.mayoclinic.org/diseases-conditions/kaposi-sarcoma/symptoms-causes/syc-20352426,,,,,,,,,,,,,,,,,,,,,
Kawasaki disease,https://www.mayoclinic.org/diseases-conditions/kawasaki-disease/symptoms-causes/syc-20354517,,,,,,,,,,,,,,,,,,,,,
Kidney cancer,https://www.mayoclinic.org/diseases-conditions/kidney-cancer/symptoms-causes/syc-20352664,,,,,,,,,,,,,,,,,,,,,
Kidney infection,https://www.mayoclinic.org/diseases-conditions/kidney-infection/symptoms-causes/syc-20353387,,,,,,,,,,,,,,,,,,,,,
Kidney stones,https://www.mayoclinic.org/diseases-conditions/kidney-stones/symptoms-causes/syc-20355755,,,,,,,,,,,,,,,,,,,,,
Klippel-Trenaunay syndrome,https://www.mayoclinic.org/diseases-conditions/klippel-trenaunay-syndrome/symptoms-causes/syc-20374482,,,,,,,,,,,,,,,,,,,,,
Knee bursitis,https://www.mayoclinic.org/diseases-conditions/knee-bursitis/symptoms-causes/syc-20374404,,,,,,,,,,,,,,,,,,,,,
Knee pain,https://www.mayoclinic.org/diseases-conditions/knee-pain/symptoms-causes/syc-20350849,,,,,,,,,,,,,,,,,,,,,
Krabbe disease,https://www.mayoclinic.org/diseases-conditions/krabbe-disease/symptoms-causes/syc-20373863,,,,,,,,,,,,,,,,,,,,,
Kuru,https://www.mayoclinic.org/diseases-conditions/kuru/symptoms-causes/syc-20374497,,,,,,,,,,,,,,,,,,,,,
Lactose intolerance,https://www.mayoclinic.org/diseases-conditions/lactose-intolerance/symptoms-causes/syc-20374232,,,,,,,,,,,,,,,,,,,,,
Laryngeal cancer,https://www.mayoclinic.org/diseases-conditions/laryngeal-cancer/symptoms-causes/syc-20356092,,,,,,,,,,,,,,,,,,,,,
Laryngitis,https://www.mayoclinic.org/diseases-conditions/laryngitis/symptoms-causes/syc-20374267,,,,,,,,,,,,,,,,,,,,,
Legg-Calve-Perthes disease,https://www.mayoclinic.org/diseases-conditions/legg-calve-perthes-disease/symptoms-causes/syc-20374264,,,,,,,,,,,,,,,,,,,,,
